Document,Title,Book,Author,URL,Classification
PSA-108-KNJ.txt,Salmos 108,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/108,Religious
PSA-109-ENG.txt,Psalm 109,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/109,Religious
PSA-109-KNJ.txt,Salmos 109,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/109,Religious
PSA-11-ENG.txt,Psalm 11,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/11,Religious
PSA-11-KNJ.txt,Salmos 11,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/11,Religious
PSA-110-ENG.txt,Psalm 110,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/110,Religious
PSA-110-KNJ.txt,Salmos 110,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/110,Religious
PSA-111-ENG.txt,Psalm 111,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/111,Religious
PSA-111-KNJ.txt,Salmos 111,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/111,Religious
PSA-112-ENG.txt,Psalm 112,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/112,Religious
PSA-112-KNJ.txt,Salmos 112,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/112,Religious
PSA-113-ENG.txt,Psalm 113,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/113,Religious
PSA-113-KNJ.txt,Salmos 113,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/113,Religious
PSA-114-ENG.txt,Psalm 114,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/114,Religious
PSA-114-KNJ.txt,Salmos 114,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/114,Religious
PSA-115-ENG.txt,Psalm 115,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/115,Religious
PSA-115-KNJ.txt,Salmos 115,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/115,Religious
PSA-116-ENG.txt,Psalm 116,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/116,Religious
PSA-116-KNJ.txt,Salmos 116,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/116,Religious
PSA-117-ENG.txt,Psalm 117,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/117,Religious
PSA-117-KNJ.txt,Salmos 117,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/117,Religious
PSA-118-ENG.txt,Psalm 118,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/118,Religious
